제목,index
선박의 범위,3
해기사 또는 도선사에 대한 징계 결정의 기준,8
직무교육의 위탁 교육기관,10
지방해양안전심판원의 명칭ㆍ위치 및 관할구역 등,17
관할 이전의 신청,17
교육기관,19
위촉,20
위촉,25
지방심판원 조사관의 자격,28
조사관의 사무,29
공개제한 정보의 범위,32
공개제한 정보의 예외적 공개,32
단독심판의 범위,37
심판부 구성의 변경,37
지방해양안전심판원의 명칭ㆍ위치 및 관할구역 등,41
심판청구 기각의 재결,41
관할 이전의 신청,43
특별심판변론인의 신청,45
심급과 심판변론인의 선임,45
심판변론인의 등록,46
심판변론인의 등록의 취소,49
비상임심판관 등의 수당 지급 등,50
협회설립 허가의 신청등,51
협회의 사업,52
조사관의 질문조서ㆍ검사조서 등의 작성,63
심판청구서,64
기간의 계산,64
약식심판의 청구 사건,65
심판청구의 통지,66
이해관계인의 심판신청,67
심판기일의 변경신청,74
우편에 의한 서류의 송달,74
공시송달,74
관계 서류 및 증거물의 열람ㆍ복사,79
제1회 심판기일 전 검사에의 참관,83
심판청구서의 변경 등,86
심판청구의 취하,87
우편에 의한 서류의 송달,95
제2심 청구서의 우편 발송,98
제2심 청구서의 우편 발송,99
재결의 집행시기,122
증인 등의 비용 지급 등,131
과태료의 부과기준,140
