제목,index
소방시설업자협회의 설립인가 절차 등,3
소방시설업의 등록기준 및 영업범위,7
소방기술자의 배치기준 및 배치기간,7
일시적인 등록기준 미달에 관한 예외,13
성능위주설계를 할 수 있는 자의 자격 등,17
소방기술자의 배치기준 및 배치기간,19
소방시설공사의 착공신고 대상,20
완공검사를 위한 현장확인 대상 특정소방대상물의 범위,21
하자보수 대상 소방시설과 하자보수 보증기간,22
감리업자가 아닌 자가 감리할 수 있는 보안성 등이 요구되는 소방대상물의 시공 장소,24
소방공사감리의 종류와 방법 및 대상,24
공사감리자 지정대상 특정소방대상물의 범위,25
소방공사 감리원의 배치기준 및 배치기간,26
소방시설공사 분리 도급의 예외,33
압류대상에서 제외되는 노임,34
도급계약서의 내용,35
하도급계약의 적정성 심사 등,35
하도급계약 자료의 공개,35
공사대금의 지급보증 등의 예외가 되는 공공기관의 범위,36
공사대금의 지급보증 등의 예외가 되는 소방시설공사의 범위,36
소방시설공사의 시공을 하도급할 수 있는 경우,37
하도급계약의 적정성 심사 등,38
하도급계약심사위원회의 구성 및 운영,38
하도급계약 자료의 공개,40
설계 및 공사 감리 용역사업의 집행 계획 작성ㆍ공고 대상자,45
설계 및 공사 감리 용역사업의 집행 계획의 내용 등,45
설계ㆍ감리업자의 선정 절차 등,45
감리업자를 선정하는 주택건설공사의 규모 및 대상 등,45
업무의 위탁,51
소방시설업자협회의 설립인가 절차 등,54
감독,54
업무의 위탁,60
과태료의 부과기준,69
